Category, Points, Question, Answer
Name the GLUGger, 600, This person just took a train ride from NYC to Champaign cos airplanes use proprietary software, Quan Hao
Name the GLUGger, 800, This person accidentally did the equivalent of rm -rf --no-preserve-root on their daily driver since they didn't realize it was a hard link to root and wanted to remove timeshift's leftover files, Jason
Name the GLUGger, 1000, This username belongs to a GLUGger that has over 2000 edits on Wikipedia, pngdeity

ASCIIbetical,200,Expand the acronym ASCII,American Standard Code for Information Interchange
ASCIIbetical,400,Give the C escape sequence that rings a bell when printed,\adisdusok`
ASCIIbetical,600,Give the character sequences used to represent newlines on Windows, Mac, and Linux respectively,CR LF; LF; CR; accept answers that use C escape sequences \r\n; …
ASCIIbetical,800,This encoding is used to represent Unicode website hostnames within the ASCII character groups permitted in hostnames?,Punycode
ASCIIbetical,1000,CSV uses a comma to separate fields which means commas can’t be used within the fields except for vendor-specific escape sequences; What character does ASCII introduce – which is sadly rarely used – to address this problem?,Record separator and Group separator characters

Keepin’ it in the family,200,Illini inventor of the transistor,John Bardeen
Keepin’ it in the family,400,NCSA programmers (name at least one) who created one of the first graphical web browsers,Eric Bina or Marc Andreesen
Keepin’ it in the family,600,Arthur C. Clarke’s antagonist AI from Urbana IL,HAL 9000
Keepin’ it in the family,800,Wide-area packet-switched network; also brought UIUC online,ARPANET
Keepin’ it in the family,1000,This early computer-assisted instruction system developed at UIUC included many modern concepts such as forums﹐ message boards﹐ online testing﹐ email﹐ chat rooms﹐ picture languages﹐ instant messaging﹐ remote screen sharing﹐ and multiplayer video games in the 1960s and ‘70s.,PLATO

UNIX powertools II,200,Find the PID of the Python process in a script,pgrep python # note that ps | grep python | cut would show the PID of the calling process too, so unless the answerer writes a filter to handle that, it is wrong
UNIX powertools II,400,(Assuming only POSIX utils) how much space does this huge directory consume–briefly,du -sh # note the answer should include -s or else it will display the size of every file in the directory
UNIX powertools II,600,Convert file.csv to file.tsv,tr﹐‘\t’ < file.csv > file.tsv # other solutions are possible
UNIX powertools II,800,Print the UNIX timestamp,date +%s # this is very useful if you need a unique number to name log files since PIDs can be reused
UNIX powertools II,1000,What hack allows the user to performantly override the `fopen(...)` of a program without recompiling the binary?,LD_PRELOAD hack

Net working,200,Transport and internet layer used for the capital-I Internet,TCP/IP
Net working,400,We used to use TCP but speed is more important than reliability so we switched to ___,UDP
Net working,600,HTTP connections consist of a host name like bank.com and data like a password; which of these are encrypted by HTTPS,Just the password
Net working,800,What tool would one use to hide the host names of the sites they were visiting?,HTTPS proxy or VPN or TOR
Net working,1000,This network is a peer-to-peer distributed hash where users "collaboratively" distribute a file,BitTorrent aka torrent

i-luv-lee-nux, 200, Torvalds famously said "F*** you" to this company during a QnA session, Nvidia
i-luv-lee-nux, 400, This line is the first sentence of a (in)-famous Linux copypasta - proposing the term GNU/Linux instead of just Linux, I'd just like to interject for a moment.
i-luv-lee-nux, 600, This prominent OS professor got into a usenet debate with Linux Torvalds - his claim was that Linux’s design was obsolete, Andrew S. Tanenbaum
i-luv-lee-nux, 800, The original name that Torvalds gave to the OS he wrote, Freax
i-luv-lee-nux, 1000, This company is the originator of the leaked "Halloween documents" - documenting strategies to counter OSS and specifically Linux, Microsoft

OS Research, 200, Last year we discussed a kind of kernel which seeks to remain as small as possible and delegate almost everything else to userspace, Microkernel
OS Research, 400, The default O(1) scheduler in Linux until 6.6, Completely Fair Scheduler
OS Research, 600, The new scheduler used by Linux after 6.6 which improves latency for latency-sensitive tasks, Earliest eligible virtual deadline first scheduler
OS Research, 800, A kind of virtualization where the guest OS "knows" it is running on virtual hardware and provides optimizations for that case, Paravirtualization
OS Research, 1000, This feature of Linux makes the dynamically allocated pointers used by a program unpredictable even if an attacker knows the arguments of every call to malloc(), Address-space layout randomization

"Smart" people, 200, He created the python language and was known as "Benevolent Dictator for Life", Guido Van Rossum
"Smart" people, 400, This person was once a professor in UIUC and is primarily famous for creating a mathematical software system and a programming language to use it, Stephen Wolfram
"Smart" people, 600, He founded Canonical - the parent company behind Ubuntu and other derivatives, Mark Shuttleworth
"Smart" people, 800, He is famous for writing vi - the visual editor for ex, Bill Joy
"Smart" people, 1000, This Canadian programmer wrote pacman – the package management software that eventually spawned distros like Arch Linux, Judd Vinet

Final Jeopardy,1,,Name as many browsers as you can (duplicate engines allowed)
